id,naslov,tip,epizode,leto,ogledi,ocena
#area30952,New Initial D Movie: Legend 3 - Mugen,Movie,(1 eps),2016,8'574,7.91
#area5005,Tentai Senshi Sunred,TV,(26 eps),2008,16'010,7.91
#area33350,Zhen Hun Jie,TV,(13 eps),2011,245'970,7.9
#area9724,Break Blade 5: Shisen no Hate,Movie,(1 eps),2011,46'033,7.9
#area388,Capeta,TV,(52 eps),2005,13'792,7.9
#area34439,Code Geass: Hangyaku no Lelouch II - Handou,Movie,(1 eps),2018,25'881,7.9
#area32370,D.Gray-man Hallow,TV,(13 eps),2016,115'614,7.9
#area6033,Dragon Ball Kai,TV,(97 eps),2009,171'783,7.9
#area31637,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2nd Season",TV,(12 eps),2016,271'019,7.9
#area27633,Gekkan Shoujo Nozaki-kun Specials,TV,(25 eps),2006,158'288,7.9
#area35363,"Kobayashi-san Chi no Maid Dragon: Valentine, Soshite Onsen! - Amari Kitai Shinaide Kudasai",Movie,(1 eps),2018,16'228,7.9
#area34914,New Game!!,TV,(12 eps),2017,125'362,7.9
#area19613,New Initial D Movie: Legend 1 - Kakusei,Movie,(1 eps),2014,13'745,7.9
#area28881,New Initial D Movie: Legend 2 - Tousou,Movie,(1 eps),2015,9'939,7.9
#area8038,Nodame Cantabile Finale Special,TV,(26 eps),1997,39'380,7.9
#area11001,Toshokan Sensou: Kakumei no Tsubasa,Movie,(1 eps),2012,14'229,7.9
#area2265,Transformers the Movie,Movie,(1 eps),1986,9'415,7.9
#area23249,Uchuu Senkan Yamato 2199: Hoshimeguru Hakobune,Movie,(1 eps),2014,8'182,7.9
#area1375,Watashi no Ashinaga Ojisan,TV,(40 eps),1990,8'132,7.9
#area269,Bleach,TV,(366 eps),2004,863'385,7.89
#area468,Ghost in the Shell 2: Innocence,Movie,(1 eps),2004,111'767,7.89
#area37141,Hataraku Saibou,TV,(13 eps),2018,163'907,7.89
#area9563,Hidamari Sketch x ☆☆☆ Specials,TV,(26 eps),2003,127'066,7.89
#area20,Naruto,TV,(220 eps),2002,1'049'234,7.89
#area20767,Noragami OVA,TV,(12 eps),2005,110'362,7.89
#area30240,Prison School,TV,(12 eps),2015,417'385,7.89
#area30727,Saenai Heroine no Sodatekata ♭,TV,(11 eps),2017,137'790,7.89
#area7724,Shiki,TV,(22 eps),2010,345'531,7.89
#area10083,Shiki Specials,TV,(26 eps),2003,217'668,7.89
#area32998,91 Days,TV,(12 eps),2016,277'650,7.88
#area32863,Ansatsu Kyoushitsu 2nd Season: Kagaijugyou-hen,Movie,(1 eps),2010,48'926,7.88
#area14741,Chuunibyou demo Koi ga Shitai!,TV,(12 eps),2012,600'844,7.88
#area8609,Detective Conan OVA 10: Kid in Trap Island,TV,(24 eps),2013,426'411,7.88
#area451,InuYasha: Tenka Hadou no Ken,Movie,(1 eps),2003,62'026,7.88
#area9734,K-On!!: Keikaku!,TV,(10 eps),2013,103'907,7.88
#area19489,Little Witch Academia: Mahoujikake no Parade,Movie,(1 eps),2015,108'487,7.88
#area4472,Lucky☆Star: Original na Visual to Animation,TV,(155 eps),1977,16'152,7.88
#area5310,Macross F Movie 1: Itsuwari no Utahime,Movie,(1 eps),2009,23'683,7.88
#area4087,Michiko to Hatchin,TV,(22 eps),2008,108'768,7.88
#area82,Mobile Suit Gundam 0080: War in the Pocket,TV,(12 eps),2010,53'922,7.88
#area2104,Seto no Hanayome,TV,(26 eps),2007,212'584,7.88
#area5485,Shin Mazinger Shougeki! Z-hen,TV,(26 eps),2009,10'229,7.88
#area18397,Shingeki no Kyojin OVA,TV,(13 eps),2014,183'168,7.88
#area29830,Tamayura: Sotsugyou Shashin Part 3 - Akogare,Movie,(1 eps),2015,4'918,7.88
#area16870,The Last: Naruto the Movie,Movie,(1 eps),2014,172'065,7.88
