id,naslov,tip,epizode,leto,ogledi,ocena
#area5341,Ookami to Koushinryou II,TV,(12 eps),2009,290'711,8.42
#area25781,Shingeki no Kyojin: Kuinaki Sentaku,OVA,(2 eps),2014,175'341,8.42
#area5,Cowboy Bebop: Tengoku no Tobira,Movie,(1 eps),2001,191'810,8.41
#area30230,Diamond no Ace: Second Season,TV,(51 eps),2015,61'783,8.41
#area37105,Grand Blue,TV,(12 eps),2018,121'325,8.41
#area34240,Shelter,Movie,(1 eps),2002,40'443,8.4
#area30346,Doukyuusei (Movie),Movie,(1 eps),2016,73'655,8.4
#area18617,Girls &amp;amp; Panzer Movie,Movie,(1 eps),2015,50'129,8.4
#area14719,JoJo no Kimyou na Bouken (TV),TV,(26 eps),2012,386'644,8.4
#area20651,Natsume Yuujinchou: Itsuka Yuki no Hi ni,OVA,(1 eps),2014,44'156,8.4
#area1698,Nodame Cantabile,TV,(23 eps),2007,207'930,8.4
#area30503,Noragami Aragoto,TV,(13 eps),2015,598'785,8.4
#area31240,Re:Zero kara Hajimeru Isekai Seikatsu,TV,(25 eps),2016,792'120,8.4
#area28701,Fate/stay night: Unlimited Blade Works 2nd Season,TV,(13 eps),2015,364'418,8.39
#area4081,Natsume Yuujinchou,TV,(13 eps),2008,301'300,8.39
#area19815,No Game No Life,TV,(12 eps),2014,1'048'262,8.39
#area5040,One Outs,TV,(25 eps),2008,124'069,8.39
#area45,Rurouni Kenshin: Meiji Kenkaku Romantan,TV,(94 eps),1996,289'028,8.39
#area2685,Tsubasa: Tokyo Revelations,OVA,(3 eps),2007,69'206,8.39
#area137,Hunter x Hunter: Yorkshin City Kanketsu-hen,OVA,(8 eps),2002,71'705,8.38
#area34534,Natsume Yuujinchou Go Specials,Special,(2 eps),2017,18'487,8.38
#area36949,Shokugeki no Souma: San no Sara - Toutsuki Ressha-hen,TV,(12 eps),2018,201'270,8.38
#area2418,Stranger: Mukou Hadan,Movie,(1 eps),2007,185'914,8.38
#area513,Tenkuu no Shiro Laputa,Movie,(1 eps),1986,218'617,8.38
#area4224,Toradora!,TV,(25 eps),2008,971'192,8.38
#area338,Versailles no Bara,TV,(40 eps),1979,47'577,8.38
#area57,Beck,TV,(26 eps),2004,193'704,8.37
#area139,Hunter x Hunter: Greed Island Final,OVA,(14 eps),2004,76'142,8.37
#area627,Major S1,TV,(26 eps),2004,57'661,8.37
#area1210,NHK ni Youkoso!,TV,(24 eps),2006,405'517,8.37
#area6945,Gintama: Shiroyasha Koutan,Special,(1 eps),2008,38'195,8.36
#area264,Hajime no Ippo: Champion Road,Special,(1 eps),2003,68'728,8.36
#area15227,Kono Sekai no Katasumi ni,Movie,(1 eps),2016,59'357,8.36
#area32937,Kono Subarashii Sekai ni Shukufuku wo! 2,TV,(10 eps),2017,477'198,8.36
#area1842,Major S3,TV,(26 eps),2007,40'944,8.36
#area5081,Bakemonogatari,TV,(15 eps),2009,707'650,8.35
#area5460,Detective Conan Movie 13: The Raven Chaser,Movie,(1 eps),2009,31'319,8.35
#area36296,Hinamatsuri,TV,(12 eps),2018,165'016,8.35
#area11771,Kuroko no Basket,TV,(25 eps),2012,514'936,8.35
#area558,Major S2,TV,(26 eps),2005,42'566,8.35
#area437,Perfect Blue,Movie,(1 eps),1998,200'467,8.35
#area329,Planetes,TV,(26 eps),2003,146'427,8.35
#area11843,Danshi Koukousei no Nichijou,TV,(12 eps),2012,400'551,8.34
#area43,Ghost in the Shell,Movie,(1 eps),1995,352'257,8.34
#area9617,K-On! Movie,Movie,(1 eps),2011,160'163,8.34
#area37095,Violet Evergarden: Kitto &amp;quot;Koi&amp;quot; wo Shiru Hi ga Kuru no Darou,Special,(1 eps),2018,55'248,8.34
#area34537,Yoru wa Mijikashi Arukeyo Otome,Movie,(1 eps),2017,36'389,8.34
#area19363,Gin no Saji 2nd Season,TV,(11 eps),2014,92'409,8.33
#area1142,Hachimitsu to Clover II,TV,(12 eps),2006,74'276,8.33
#area1889,Higurashi no Naku Koro ni Kai,TV,(24 eps),2007,283'118,8.33
#area23317,Kuroshitsuji: Book of Murder,OVA,(2 eps),2015,115'323,8.33
#area5690,Nodame Cantabile Finale,TV,(11 eps),2010,88'589,8.33
#area2966,Ookami to Koushinryou,TV,(13 eps),2008,467'130,8.33
#area853,Ouran Koukou Host Club,TV,(26 eps),2006,563'993,8.33
#area32188,Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,Special,(1 eps),2015,102'927,8.33
#area2236,Toki wo Kakeru Shoujo,Movie,(1 eps),2006,438'276,8.33
#area34636,Ballroom e Youkoso,TV,(24 eps),2017,134'653,8.32
#area36896,Boku no Hero Academia the Movie: Futari no Hero,Movie,(1 eps),2018,94'464,8.32
#area35608,Chuunibyou demo Koi ga Shitai! Movie: Take On Me,Movie,(1 eps),2018,63'031,8.32
#area22297,Fate/stay night: Unlimited Blade Works,TV,(12 eps),2014,454'702,8.32
#area3002,Gyakkyou Burai Kaiji: Ultimate Survivor,TV,(26 eps),2007,160'879,8.32
#area22145,Kuroshitsuji: Book of Circus,TV,(10 eps),2014,189'623,8.32
#area3226,Major S4,TV,(26 eps),2008,38'809,8.32
#area9890,Major: Message,OVA,(1 eps),2010,18'142,8.32
#area30,Neon Genesis Evangelion,TV,(26 eps),1995,688'822,8.32
#area6675,Redline,Movie,(1 eps),2009,169'900,8.32
#area9863,SKET Dance,TV,(77 eps),2011,137'126,8.32
#area34822,Tsuki ga Kirei,TV,(12 eps),2017,193'185,8.32
#area34798,Yuru Camp△,TV,(12 eps),2018,140'153,8.32
#area2402,Ashita no Joe,TV,(79 eps),1970,33'754,8.31
#area7674,Bakuman.,TV,(25 eps),2010,351'696,8.31
#area32867,Bungou Stray Dogs 2nd Season,TV,(12 eps),2016,226'283,8.31
#area35972,Fairy Tail: Final Series,TV,(1 eps),2010,21'354,8.31
#area6811,InuYasha: Kanketsu-hen,TV,(26 eps),2009,141'263,8.31
#area16664,Kaguya-hime no Monogatari,Movie,(1 eps),2013,81'359,8.31
#area18195,Little Busters!: Refrain,TV,(13 eps),2013,100'679,8.31
#area34577,Nanatsu no Taizai: Imashime no Fukkatsu,TV,(24 eps),2018,291'785,8.31
#area4155,One Piece Film: Strong World,Movie,(1 eps),2009,121'774,8.31
#area12859,One Piece Film: Z,Movie,(1 eps),2012,118'083,8.31
#area35466,ReLIFE: Kanketsu-hen,Special,(4 eps),2018,102'756,8.31
#area13759,Sakurasou no Pet na Kanojo,TV,(24 eps),2012,593'258,8.31
#area1033,Sennen Joyuu,Movie,(1 eps),2002,85'545,8.31
#area759,Tokyo Godfathers,Movie,(1 eps),2003,132'620,8.31
#area12115,Berserk: Ougon Jidai-hen III - Kourin,Movie,(1 eps),2013,106'439,8.3
#area813,Dragon Ball Z,TV,(291 eps),1989,570'879,8.3
#area138,Hunter x Hunter: Greed Island,OVA,(8 eps),2003,77'827,8.3
#area22507,Initial D Final Stage,TV,(4 eps),2014,44'671,8.3
#area28675,Kyoukai no Kanata Movie 2: I'll Be Here - Mirai-hen,Movie,(1 eps),2015,115'116,8.3
#area6,Trigun,TV,(26 eps),1998,396'984,8.3
#area3091,xxxHOLiC Kei,TV,(13 eps),2008,93'102,8.3
#area6547,Angel Beats!,TV,(13 eps),2010,1'070'065,8.29
#area372,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,Movie,(1 eps),2000,78'525,8.29
#area31988,Hibike! Euphonium 2,TV,(13 eps),2016,105'330,8.29
#area185,Initial D First Stage,TV,(26 eps),1998,127'729,8.29
#area1604,Katekyo Hitman Reborn!,TV,(203 eps),2006,348'797,8.29
#area512,Majo no Takkyuubin,Movie,(1 eps),1989,230'849,8.29
#area585,Mimi wo Sumaseba,Movie,(1 eps),1995,139'021,8.29
#area6336,Mobile Suit Gundam Unicorn,OVA,(7 eps),2010,56'367,8.29
#area6864,xxxHOLiC Rou,OVA,(2 eps),2010,45'830,8.29
#area10800,Chihayafuru,TV,(25 eps),2011,226'823,8.28
#area32005,Detective Conan Movie 20: The Darkest Nightmare,Movie,(1 eps),2016,16'272,8.28
#area6746,Durarara!!,TV,(24 eps),2010,785'441,8.28
#area121,Fullmetal Alchemist,TV,(51 eps),2003,831'255,8.28
#area19123,One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,Special,(1 eps),2013,28'460,8.28
#area31715,Working!!!: Lord of the Takanashi,Special,(1 eps),2016,56'951,8.28
#area23847,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,TV,(13 eps),2015,386'454,8.28
#area10271,Gyakkyou Burai Kaiji: Hakairoku-hen,TV,(26 eps),2011,91'205,8.27
#area265,Hajime no Ippo: Mashiba vs. Kimura,OVA,(1 eps),2003,56'452,8.27
#area23327,Space☆Dandy 2nd Season,TV,(13 eps),2014,90'694,8.27
#area1519,Black Lagoon: The Second Barrage,TV,(12 eps),2006,274'782,8.26
#area6467,Detective Conan Movie 14: The Lost Ship in the Sky,Movie,(1 eps),2010,29'788,8.26
#area25681,Kamisama Hajimemashita◎,TV,(12 eps),2015,152'243,8.26
#area31658,Kuroko no Basket Movie 4: Last Game,Movie,(1 eps),2017,83'469,8.26
#area10153,Mahou Shoujo Lyrical Nanoha: The Movie 2nd A's,Movie,(1 eps),2012,16'887,8.26
#area11977,Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,Movie,(1 eps),2012,121'207,8.26
#area33051,Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season,TV,(25 eps),2016,60'715,8.26
#area23755,Nanatsu no Taizai,TV,(24 eps),2014,706'722,8.26
#area9130,Saint Seiya: The Lost Canvas - Meiou Shinwa 2,OVA,(13 eps),2011,41'468,8.26
#area962,Aria The Natural,TV,(26 eps),2006,50'194,8.25
#area28223,Death Parade,TV,(12 eps),2015,704'944,8.25
#area235,Detective Conan,TV,(1 eps),2015,42'444,8.25
#area21557,Omoide no Marnie,Movie,(1 eps),2014,105'252,8.25
#area37171,Asobi Asobase,TV,(12 eps),2018,90'227,8.24
#area20899,JoJo no Kimyou na Bouken: Stardust Crusaders,TV,(24 eps),2014,258'698,8.24
#area16782,Kotonoha no Niwa,Movie,(1 eps),2013,342'174,8.24
#area1453,Maison Ikkoku,TV,(96 eps),1986,33'865,8.24
#area3901,Baccano! Specials,Special,(3 eps),2008,124'409,8.23
#area1364,Detective Conan Movie 05: Countdown to Heaven,Movie,(1 eps),2001,34'931,8.23
#area18,Initial D Fourth Stage,TV,(24 eps),2004,70'396,8.23
#area35062,Mahoutsukai no Yome,TV,(24 eps),2017,374'326,8.23
#area32902,Mahoutsukai no Yome: Hoshi Matsu Hito,OVA,(3 eps),2016,161'285,8.23
#area4477,Nodame Cantabile: Paris-hen,TV,(11 eps),2008,88'906,8.23
#area37675,Overlord III,TV,(13 eps),2018,196'093,8.23
#area4722,Skip Beat!,TV,(25 eps),2008,171'370,8.23
#area37430,Tensei shitara Slime Datta Ken,TV,(24 eps),2018,131'022,8.23
#area24277,Yowamushi Pedal: Grande Road,TV,(24 eps),2014,76'411,8.23
#area3701,Kaiba,TV,(12 eps),2008,82'621,8.22
#area16067,Nagi no Asu kara,TV,(26 eps),2013,333'489,8.22
#area23623,Non Non Biyori Repeat,TV,(12 eps),2015,99'823,8.22
#area15323,One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna,Special,(1 eps),2012,36'089,8.22
#area4107,Tengen Toppa Gurren Lagann Movie 1: Gurren-hen,Movie,(1 eps),2008,99'019,8.22
#area24833,Ansatsu Kyoushitsu,TV,(22 eps),2015,638'147,8.21
#area232,Cardcaptor Sakura,TV,(70 eps),1998,249'139,8.21
#area3702,Detroit Metal City,OVA,(12 eps),2008,140'664,8.21
#area27821,Fate/stay night: Unlimited Blade Works - Prologue,Special,(1 eps),2014,163'424,8.21
#area239,Gankutsuou,TV,(24 eps),2004,138'939,8.21
#area2581,Mobile Suit Gundam 00,TV,(25 eps),2007,149'905,8.21
#area721,Princess Tutu,TV,(38 eps),2002,98'130,8.21
#area1827,Seirei no Moribito,TV,(26 eps),2007,138'637,8.21
#area11123,Sekaiichi Hatsukoi 2,TV,(12 eps),2011,93'509,8.21
#area1559,Shijou Saikyou no Deshi Kenichi,TV,(50 eps),2006,178'429,8.21
#area440,Shoujo Kakumei Utena,TV,(39 eps),1997,111'476,8.21
#area5681,Summer Wars,Movie,(1 eps),2009,316'276,8.21
#area34076,Uchouten Kazoku 2,TV,(12 eps),2017,36'678,8.21
#area2167,Clannad,TV,(23 eps),2007,777'523,8.2
#area2025,Darker than Black: Kuro no Keiyakusha,TV,(25 eps),2007,588'643,8.2
#area1367,Detective Conan Movie 08: Magician of the Silver Sky,Movie,(1 eps),2004,31'638,8.2
#area21419,Detective Conan Movie 18: The Sniper from Another Dimension,Movie,(1 eps),2014,20'332,8.2
#area16706,Kami nomi zo Shiru Sekai: Megami-hen,TV,(12 eps),2013,201'078,8.2
#area33323,"Kamisama Hajimemashita: Kamisama, Shiawase ni Naru",OVA,(1 eps),2016,22'431,8.2
#area8129,Kuragehime,TV,(11 eps),2010,140'601,8.2
#area14513,Magi: The Labyrinth of Magic,TV,(25 eps),2012,501'169,8.2
#area11597,Nisemonogatari,TV,(11 eps),2012,386'220,8.2
#area4938,Tsubasa: Shunraiki,OVA,(2 eps),2009,47'347,8.2
#area23283,Zankyou no Terror,TV,(11 eps),2014,547'654,8.2
#area1506,Detective Conan Movie 10: Requiem of the Detectives,Movie,(1 eps),2006,30'545,8.19
#area18689,Diamond no Ace,TV,(75 eps),2013,116'021,8.19
